16 2211 8481
0 0 -385.99 387.12
1 0 -38.44 492.12
2 0 -667.92 123.11
7 0 -599.18 407.93
12 0 -720.43 314.34
13 0 -115.13 55.48999
0 1 205.78 479.18
1 1 591.8 435.47
3 1 -243.48 -93.78998
5 1 607.8101 -167.18
7 1 -26.39001 567.91
14 1 513.88 -248.94
0 2 -536.52 287.7
1 2 -203.52 433.3
7 2 -744.57 282.44
13 2 -243.53 -37.73999
15 2 -799.69 458.79
0 3 -228.75 454.24
1 3 132.2 519.54
2 3 -509.01 204.16
4 3 4.530029 -223.66
8 3 -338.66 150.7
11 3 -55.45001 -307.44
12 3 -549.92 419.91
14 3 92.03003 -289.19
0 4 -107.8 509.75
1 4 267.8101 545.69
2 4 -393.25 271.26
3 4 -520.56 -59.33002
5 4 299.72 -140.23
7 4 -334.1 567.11
8 4 -243.81 204.96
11 4 51.04999 -258.45
12 4 -423.62 505.52
0 5 26.72998 141.97
1 5 235.9399 158.93
3 5 1.299988 -174.3
4 5 -182.76 -429.79
5 5 636.21 -512.03
7 5 -88.65997 254.2
10 5 -77.59998 309.17
12 5 -47.88 228.98
15 5 -16 334.71
0 6 -41.65002 5.609985
1 6 126.54 45.42999
2 6 84.04999 2.940002
3 6 -1.890015 -309.19
7 6 -131.57 109.42
8 6 99.83002 -42.60999
15 6 -90.90997 139.14
0 7 121.98 -88.92999
1 7 250.38 -94.45001
2 7 309.96 -34.65997
3 7 215.5601 -337.02
4 7 -354.3 -509.92
6 7 134.85 -40.78003
7 7 53.13 46.40997
8 7 282.45 -77.83002
10 7 57.28998 50.51001
12 7 149.82 5.809998
13 7 493.1801 -288.53
15 7 142.2 32.88
0 8 593.28 156.15
1 8 871.48 -2.419983
2 8 490.13 134.41
3 8 352.8 -179.2
6 8 404.59 309.25
8 8 461.87 82.48001
9 8 280 211.7
10 8 582.77 386.13
12 8 489.6801 317.81
13 8 796.3 -61.35999
0 9 552.77 246.82
1 9 857.91 105.02
2 9 422.29 204.18
3 9 284.51 -115.62
7 9 371.25 409.67
8 9 407.72 140.73
9 9 220.84 267.79
10 9 528.49 489.54
11 9 679.73 -477.48
12 9 421.3101 401.35
13 9 745.24 11.59998
15 9 712.85 557.52
0 10 -428.86 397.79
1 10 -76.72998 512.49
2 10 -718.85 133.84
7 10 -646.59 413.84
8 10 -508.15 90.78
10 10 -654.21 576.49
12 10 -776.57 320.5
14 10 -108.09 -349.44
0 11 -315.99 418.8
1 11 37.53003 505.8
2 11 -596.57 160.5
4 11 -8.309998 -172.58
5 11 89.39001 -236.31
7 11 -531.68 448.78
8 11 -409.18 113.92
10 11 -517.74 611.09
12 11 -643.89 363.48
13 11 -59.66998 85.34
14 11 5.169983 -327.15
0 12 1.669983 491.52
1 12 376.9 500.03
2 12 -289.24 249.73
3 12 -420.16 -81.37
4 12 9.349976 -360.15
5 12 405.9 -158.94
6 12 -475.35 509.55
7 12 -224.2 558.8
8 12 -158.26 189.8
9 12 -396.66 281.27
11 12 149.11 -271.37
12 12 -300.81 497.99
0 13 486.74 369.69
1 13 842.1801 251.35
3 13 132.85 -74.59998
7 13 277.23 509.5
8 13 291.51 186.41
9 13 89.14001 302.82
11 13 599.62 -359.27
0 14 371.04 512
1 14 787.84 427.77
2 14 32.57001 277.73
5 14 775.48 -126.32
6 14 -83.91 611.71
8 14 108.63 218.61
9 14 -125.03 316.4
11 14 483.4301 -235.78
12 14 78.19 572.5
14 14 674.74 -205.67
0 15 41.79999 490.69
1 15 418.46 488.95
7 15 -185.03 562.65
12 15 -257.67 504.09
0 16 136.07 20.83002
1 16 297.5601 9.580017
2 16 283.4399 81.82001
3 16 184.16 -228.25
4 16 -275.05 -522.09
6 16 111.94 87.96002
7 16 48.56 157.58
